timestamp,aqi,pm2_5,pm10,o3,no2,co,so2,temperature,pressure,humidity,wind_speed,wind_direction,hour,day,day_of_week,month,is_weekend,hour_category
2026-08-09 20:21:41,71,17.68,70.99,39.84,0.08,73.31,0.35,27.17,1003,80,7.08,255,20,9,6,8,1,3
2026-08-10 12:46:12,71,15.61,68.88,37.22,0.07,67.86,0.44,28.1,1000,77,8.23,253,12,10,0,8,0,2
2026-08-10 14:14:49,69,14.48,59.22,36.87,0.08,68.6,0.4,27.51,1000,80,8.09,259,14,10,0,8,0,2
2026-08-08 23:19:56,77,18.34,67.09,38.23,0.1,70.81,0.33,26.8,1002,81,5.92,263,23,8,5,8,1,0
2026-08-08 21:22:14,73,17.49,64.76,37.69,0.1,70.31,0.35,27.1,1003,79,5.29,259,21,8,5,8,1,0
2026-08-10 18:43:54,68,15.99,67.42,38.58,0.09,71.3,0.44,26.86,1002,81,8.41,269,18,10,0,8,0,3
2026-08-09 17:23:11,73,18.05,70.4,38.59,0.08,71.82,0.36,27.42,1004,79,6.92,257,17,9,6,8,1,3
2026-08-08 20:19:27,74,17.36,66.04,37.42,0.1,70.19,0.37,27.2,1003,78,5.56,252,20,8,5,8,1,3
2026-08-09 08:31:56,77,20.68,90.65,40.89,0.05,72.17,0.34,29.77,1003,68,7.09,252,8,9,6,8,1,1
2026-08-09 06:39:50,77,21.87,93.26,40.76,0.06,71.84,0.35,29.32,1004,69,7.17,253,6,9,6,8,1,1
2026-08-09 03:02:06,77,21.15,84.41,38.76,0.1,71.08,0.35,27.95,1004,75,5.8,262,3,9,6,8,1,0
